	(0, 0, IRRELEVANT)	(0, 0, RELEVANT)	(0, 0, ACTIVE)	(0, 1, IRRELEVANT)	(0, 1, RELEVANT)	(0, 1, ACTIVE)	(1, 0, IRRELEVANT)	(1, 0, RELEVANT)	(1, 0, ACTIVE)	(1, 1, IRRELEVANT)	(1, 1, RELEVANT)	(1, 1, ACTIVE)
(0, 0, IRRELEVANT)	-100000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(0, 0, RELEVANT)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(0, 0, ACTIVE)	0.0	0.0	-100000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(0, 1, IRRELEVANT)	0.0	0.0	0.0	7.333333333333337	0.0	0.0	7.333333333333337	0.0	0.0	0.0	0.0	0.0
(0, 1, RELEVANT)	0.0	0.0	0.0	7.333333333333337	0.0	0.0	7.333333333333337	0.0	0.0	0.0	0.0	0.0
(0, 1, ACTIVE)	0.0	0.0	0.0	7.333333333333337	0.0	0.0	7.333333333333337	0.0	0.0	0.0	0.0	0.0
(1, 0, IRRELEVANT)	0.0	0.0	0.0	9.000000000000004	0.0	0.0	9.000000000000004	0.0	0.0	0.0	0.0	0.0
(1, 0, RELEVANT)	0.0	0.0	0.0	9.000000000000004	0.0	0.0	9.000000000000004	0.0	0.0	0.0	0.0	0.0
(1, 0, ACTIVE)	0.0	0.0	0.0	9.000000000000004	0.0	0.0	9.000000000000004	0.0	0.0	0.0	0.0	0.0
(1, 1, IRRELEVANT)	0.0	0.0	0.0	7.000000000000003	0.0	0.0	7.000000000000003	0.0	0.0	0.0	0.0	0.0
(1, 1, RELEVANT)	0.0	0.0	0.0	7.000000000000003	0.0	0.0	7.000000000000003	0.0	0.0	0.0	0.0	0.0
(1, 1, ACTIVE)	0.0	0.0	0.0	7.000000000000003	0.0	0.0	7.000000000000003	0.0	0.0	0.0	0.0	0.0
