	action
(0, 0, IRRELEVANT)	ADOPT
(0, 0, RELEVANT)	ADOPT
(0, 0, ACTIVE)	ADOPT
(0, 1, IRRELEVANT)	ADOPT
(0, 1, RELEVANT)	ADOPT
(0, 1, ACTIVE)	WAIT
(0, 2, IRRELEVANT)	ADOPT
(0, 2, RELEVANT)	ADOPT
(0, 2, ACTIVE)	WAIT
(0, 3, IRRELEVANT)	ADOPT
(0, 3, RELEVANT)	ADOPT
(0, 3, ACTIVE)	WAIT
(0, 4, IRRELEVANT)	ADOPT
(0, 4, RELEVANT)	ADOPT
(0, 4, ACTIVE)	WAIT
(0, 5, IRRELEVANT)	ADOPT
(0, 5, RELEVANT)	ADOPT
(0, 5, ACTIVE)	WAIT
(0, 6, IRRELEVANT)	ADOPT
(0, 6, RELEVANT)	ADOPT
(0, 6, ACTIVE)	WAIT
(0, 7, IRRELEVANT)	ADOPT
(0, 7, RELEVANT)	ADOPT
(0, 7, ACTIVE)	WAIT
(0, 8, IRRELEVANT)	ADOPT
(0, 8, RELEVANT)	ADOPT
(0, 8, ACTIVE)	WAIT
(0, 9, IRRELEVANT)	ADOPT
(0, 9, RELEVANT)	ADOPT
(0, 9, ACTIVE)	WAIT
(0, 10, IRRELEVANT)	ADOPT
(0, 10, RELEVANT)	ADOPT
(0, 10, ACTIVE)	WAIT
(0, 11, IRRELEVANT)	ADOPT
(0, 11, RELEVANT)	ADOPT
(0, 11, ACTIVE)	WAIT
(0, 12, IRRELEVANT)	ADOPT
(0, 12, RELEVANT)	ADOPT
(0, 12, ACTIVE)	WAIT
(0, 13, IRRELEVANT)	ADOPT
(0, 13, RELEVANT)	ADOPT
(0, 13, ACTIVE)	WAIT
(0, 14, IRRELEVANT)	ADOPT
(0, 14, RELEVANT)	ADOPT
(0, 14, ACTIVE)	WAIT
(0, 15, IRRELEVANT)	ADOPT
(0, 15, RELEVANT)	ADOPT
(0, 15, ACTIVE)	WAIT
(0, 16, IRRELEVANT)	ADOPT
(0, 16, RELEVANT)	ADOPT
(0, 16, ACTIVE)	WAIT
(0, 17, IRRELEVANT)	ADOPT
(0, 17, RELEVANT)	ADOPT
(0, 17, ACTIVE)	WAIT
(0, 18, IRRELEVANT)	ADOPT
(0, 18, RELEVANT)	ADOPT
(0, 18, ACTIVE)	WAIT
(0, 19, IRRELEVANT)	ADOPT
(0, 19, RELEVANT)	ADOPT
(0, 19, ACTIVE)	ADOPT
(1, 0, IRRELEVANT)	OVERRIDE
(1, 0, RELEVANT)	OVERRIDE
(1, 0, ACTIVE)	OVERRIDE
(1, 1, IRRELEVANT)	WAIT
(1, 1, RELEVANT)	MATCH
(1, 1, ACTIVE)	WAIT
(1, 2, IRRELEVANT)	ADOPT
(1, 2, RELEVANT)	ADOPT
(1, 2, ACTIVE)	WAIT
(1, 3, IRRELEVANT)	ADOPT
(1, 3, RELEVANT)	ADOPT
(1, 3, ACTIVE)	WAIT
(1, 4, IRRELEVANT)	ADOPT
(1, 4, RELEVANT)	ADOPT
(1, 4, ACTIVE)	WAIT
(1, 5, IRRELEVANT)	ADOPT
(1, 5, RELEVANT)	ADOPT
(1, 5, ACTIVE)	WAIT
(1, 6, IRRELEVANT)	ADOPT
(1, 6, RELEVANT)	ADOPT
(1, 6, ACTIVE)	WAIT
(1, 7, IRRELEVANT)	ADOPT
(1, 7, RELEVANT)	ADOPT
(1, 7, ACTIVE)	WAIT
(1, 8, IRRELEVANT)	ADOPT
(1, 8, RELEVANT)	ADOPT
(1, 8, ACTIVE)	WAIT
(1, 9, IRRELEVANT)	ADOPT
(1, 9, RELEVANT)	ADOPT
(1, 9, ACTIVE)	WAIT
(1, 10, IRRELEVANT)	ADOPT
(1, 10, RELEVANT)	ADOPT
(1, 10, ACTIVE)	WAIT
(1, 11, IRRELEVANT)	ADOPT
(1, 11, RELEVANT)	ADOPT
(1, 11, ACTIVE)	WAIT
(1, 12, IRRELEVANT)	ADOPT
(1, 12, RELEVANT)	ADOPT
(1, 12, ACTIVE)	WAIT
(1, 13, IRRELEVANT)	ADOPT
